Type,Merk,kapasitas_mesin_cc,Bulan,PPnBM,jumlah_penjualan
Rush,Toyota,1500,2020-11-01,0,2913
Rush,Toyota,1500,2020-12-01,0,4153
Rush,Toyota,1500,2021-01-01,0,3985
Rush,Toyota,1500,2021-02-01,0,2160
Rush,Toyota,1500,2021-03-01,100,6930
Rush,Toyota,1500,2021-04-01,100,2889
Rush,Toyota,1500,2021-05-01,100,3227
Rush,Toyota,1500,2021-06-01,100,3795
Rush,Toyota,1500,2021-07-01,100,3262
Rush,Toyota,1500,2021-08-01,100,4715
Rush,Toyota,1500,2021-09-01,100,6004
Rush,Toyota,1500,2021-10-01,100,5312
Rush,Toyota,1500,2021-11-01,100,6285
Rush,Toyota,1500,2021-12-01,100,4346
Rush,Toyota,1500,2022-01-01,0,3751
Rush,Toyota,1500,2022-02-01,0,3811
Xenia,Daihatsu,1300,2020-01-01,0,1907
Xenia,Daihatsu,1300,2020-02-01,0,2171
Xenia,Daihatsu,1300,2020-03-01,0,1624
Xenia,Daihatsu,1300,2020-04-01,0,93
Xenia,Daihatsu,1300,2020-05-01,0,0
Xenia,Daihatsu,1300,2020-06-01,0,11
Xenia,Daihatsu,1300,2020-07-01,0,40
Xenia,Daihatsu,1300,2020-08-01,0,74
Xenia,Daihatsu,1300,2020-09-01,0,388
Xenia,Daihatsu,1300,2020-10-01,0,364
Xenia,Daihatsu,1300,2020-11-01,0,384
Xenia,Daihatsu,1300,2020-12-01,0,376
Xenia,Daihatsu,1300,2021-01-01,0,793
Xenia,Daihatsu,1300,2021-02-01,0,342
Xenia,Daihatsu,1300,2021-03-01,100,1352
Xenia,Daihatsu,1300,2021-04-01,100,710
Xenia,Daihatsu,1300,2021-05-01,100,546
Xenia,Daihatsu,1300,2021-06-01,100,1505
Xenia,Daihatsu,1300,2021-07-01,100,243
Xenia,Daihatsu,1300,2021-08-01,100,665
Xenia,Daihatsu,1300,2021-09-01,100,1114
Xenia,Daihatsu,1300,2021-10-01,100,1151
Xenia,Daihatsu,1300,2021-11-01,100,108
Xenia,Daihatsu,1300,2021-12-01,100,294
Xenia,Daihatsu,1300,2022-01-01,100,2831
Xenia,Daihatsu,1300,2022-02-01,100,2963
Xenia,Daihatsu,1500,2020-01-01,0,34
Xenia,Daihatsu,1500,2020-02-01,0,35
Xenia,Daihatsu,1500,2020-03-01,0,40
Xenia,Daihatsu,1500,2020-04-01,0,4
Xenia,Daihatsu,1500,2020-05-01,0,0
Xenia,Daihatsu,1500,2020-06-01,0,0
Xenia,Daihatsu,1500,2020-07-01,0,1
Xenia,Daihatsu,1500,2020-08-01,0,1
Xenia,Daihatsu,1500,2020-09-01,0,8
Xenia,Daihatsu,1500,2020-10-01,0,10
Xenia,Daihatsu,1500,2020-11-01,0,53
Xenia,Daihatsu,1500,2020-12-01,0,0
Xenia,Daihatsu,1500,2021-01-01,0,10
Xenia,Daihatsu,1500,2021-02-01,0,5
Xenia,Daihatsu,1500,2021-03-01,100,15
Xenia,Daihatsu,1500,2021-04-01,100,11
Xenia,Daihatsu,1500,2021-05-01,100,39
Xenia,Daihatsu,1500,2021-06-01,100,157
Xenia,Daihatsu,1500,2021-07-01,100,160
Xenia,Daihatsu,1500,2021-08-01,100,303
Xenia,Daihatsu,1500,2021-09-01,100,7
Xenia,Daihatsu,1500,2021-10-01,100,0
Xenia,Daihatsu,1500,2021-11-01,100,609
Xenia,Daihatsu,1500,2021-12-01,100,1053
Xenia,Daihatsu,1500,2022-01-01,100,691
Xenia,Daihatsu,1500,2022-02-01,100,693
Gran Max MB,Daihatsu,1300,2020-01-01,0,1273
Gran Max MB,Daihatsu,1300,2020-02-01,0,1172
Gran Max MB,Daihatsu,1300,2020-03-01,0,1075
Gran Max MB,Daihatsu,1300,2020-04-01,0,80
Gran Max MB,Daihatsu,1300,2020-05-01,0,0
Gran Max MB,Daihatsu,1300,2020-06-01,0,4
Gran Max MB,Daihatsu,1300,2020-07-01,0,88
Gran Max MB,Daihatsu,1300,2020-08-01,0,875
Gran Max MB,Daihatsu,1300,2020-09-01,0,1309
Gran Max MB,Daihatsu,1300,2020-10-01,0,1164
Gran Max MB,Daihatsu,1300,2020-11-01,0,986
Gran Max MB,Daihatsu,1300,2020-12-01,0,605
Gran Max MB,Daihatsu,1300,2021-01-01,0,610
Gran Max MB,Daihatsu,1300,2021-02-01,0,1179
Gran Max MB,Daihatsu,1300,2021-03-01,100,1375
Gran Max MB,Daihatsu,1300,2021-04-01,100,1101
Gran Max MB,Daihatsu,1300,2021-05-01,100,475
Gran Max MB,Daihatsu,1300,2021-06-01,100,932
Gran Max MB,Daihatsu,1300,2021-07-01,100,1172
Gran Max MB,Daihatsu,1300,2021-08-01,100,983
Gran Max MB,Daihatsu,1300,2021-09-01,100,1003
Gran Max MB,Daihatsu,1300,2021-10-01,100,1040
Gran Max MB,Daihatsu,1300,2021-11-01,100,832
Gran Max MB,Daihatsu,1300,2021-12-01,100,937
Gran Max MB,Daihatsu,1300,2022-01-01,0,1196
Gran Max MB,Daihatsu,1300,2022-02-01,0,731
Terios,Daihatsu,1500,2020-01-01,0,1394
Terios,Daihatsu,1500,2020-02-01,0,1611
Terios,Daihatsu,1500,2020-03-01,0,2912
Terios,Daihatsu,1500,2020-04-01,0,192
Terios,Daihatsu,1500,2020-05-01,0,0
